symbol,comapnyName,new52WHL,prev52WHL,prevHLDate,ltp,prevClose,change,pChange
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,103.5,102.96,17-Sep-2026,101.0,101.72,-0.72,-0.7078254030672434
ACE,Action Construction Equipment Limited,1241.5,1213.2,17-Sep-2026,1229.1,1205.6,23.5,1.949236894492369
ACMESOLAR,Acme Solar Holdings Limited,440.7,430.5,04-Sep-2026,438.65,411.3,27.35,6.649647459275468
ACSTECH,ACS Technologies Limited,66.15,63.0,17-Sep-2026,66.15,63,3.15,5.0
AEGISVOPAK,Aegis Vopak Terminals Limited,317.0,316.0,17-Sep-2026,316.0,310.7,5.3,1.7058255551979402
AHCL,Anlon Healthcare Limited,24.78,22.94,15-Sep-2026,23.1,21.84,1.26,5.769230769230769
ALGOQUANT,Algoquant Fintech Limited,76.2,71.85,17-Sep-2026,72.67,70.13,2.54,3.6218451447312137
ALUFLUOR,Alufluoride Limited,542.5,509.9,02-Sep-2026,538.0,492.2,45.8,9.30516050386022
ANANDRATHI,Anand Rathi Wealth Limited,2268.4,2255.0,07-Sep-2026,2225.0,2207.4,17.6,0.7973181118057443
APARINDS,Apar Industries Limited,19080.0,18465.0,12-Aug-2026,18791.0,17801,990.0,5.5614853098140555
APOORVA,Apoorva Leasing Finance and Investment Company Limited,31.2,29.75,17-Sep-2026,31.1,29.75,1.35,4.53781512605042
ASTAR,Asian Star Company Limited,807.35,723.0,13-May-2026,807.35,672.8,134.55,19.998513674197383
AUROPHARMA,Aurobindo Pharma Limited,1734.0,1717.0,31-Aug-2026,1734.0,1690,44.0,2.603550295857988
AVALON,Avalon Technologies Limited,2618.0,2424.0,07-Sep-2026,2602.0,2230,372.0,16.681614349775785
BHAGYANGR,Bhagyanagar India Limited,467.9,446.5,17-Sep-2026,447.0,446.5,0.5,0.11198208286674133
BIRLACABLE,Birla Cable Limited,418.8,411.95,15-Sep-2026,408.4,401.65,6.75,1.6805676584090625
BODALCHEM,Bodal Chemicals Limited,191.23,189.68,09-Sep-2026,191.23,182.13,9.1,4.996431120628123
CONFIPET,Confidence Petroleum India Limited,92.61,91.65,15-Sep-2026,91.8,86.76,5.04,5.809128630705394
CPCAP,CP Capital Limited,152.0,144.4,19-Sep-2025,145.5,141.05,4.45,3.15490960652251
CSM,CSM Technologies Limited,114.9,113.0,02-Jul-2026,111.5,102.64,8.86,8.63211223694466
DICIND,DIC India Limited,642.0,638.95,04-Sep-2026,628.3,628.45,-0.15,-0.02386824727504177
DSKULKARNI,DS Kulkarni Developers Limited,22.71,22.27,17-Sep-2026,22.71,22.27,0.44,1.9757521329142345
EMCURE,Emcure Pharmaceuticals Limited,2100.7,2048.0,10-Aug-2026,2083.0,1909.8,173.2,9.06901246203791
EMIL,Electronics Mart India Limited,202.86,196.74,13-Aug-2026,195.9,185.07,10.83,5.851839844383206
FILATEX,Filatex India Limited,94.5,91.9,17-Sep-2026,93.42,90.35,3.07,3.397897066961815
GCSL,Gretex Corporate Services Limited,620.5,616.9,10-Sep-2026,617.2,594.35,22.85,3.8445360477832926
GFSTEELS,Grand Foundry Limited,25.44,24.23,17-Sep-2026,25.44,24.23,1.21,4.993809327280231
GKSL,Gujarat Kidney And Super Speciality Limited,186.0,183.05,15-Sep-2026,182.0,177.82,4.18,2.350691710718704
GLASSWALL,Glass Wall Systems (India) Limited,304.2,257.82,17-Sep-2026,273.6,257.82,15.78,6.120549220386316
GMMPFAUDLR,GMM Pfaudler Limited,1475.0,1384.8,15-Sep-2026,1458.0,1363.4,94.6,6.938536012908904
GOCLCORP,GOCL Corporation Limited,461.4,459.9,22-Jun-2026,448.0,456.15,-8.15,-1.7866929738024773
GRAUWEIL,Grauer & Weil India Limited,88.53,87.4,02-Jul-2026,86.7,79.09,7.61,9.621949677582501
IL&FSENGG,IL&FS Engineering and Construction Company Limited,40.95,40.05,17-Sep-2026,40.95,39,1.95,5.0
INDOKEM,Indokem Limited,668.0,666.9,17-Sep-2026,615.05,643.15,-28.1,-4.369120733887896
INDOMIM,INDO-MIM Limited,1064.0,1028.5,10-Sep-2026,1062.0,993.2,68.8,6.927104309303262
IPCALAB,IPCA Laboratories Limited,2038.0,2014.0,17-Sep-2026,1999.0,1970.3,28.7,1.4566309699030604
IRISDOREME,Iris Clothings Limited,66.3,65.0,07-Sep-2026,64.98,62.55,2.43,3.884892086330935
JSWINFRA,JSW Infrastructure Limited,356.95,355.8,13-Jul-2026,349.65,326.65,23.0,7.041175570182152
JYOTICNC,Jyoti CNC Automation Limited,1065.0,1058.85,08-Sep-2026,1053.55,980.85,72.7,7.411938624662283
KAMDHENU,Kamdhenu Limited,41.05,40.95,08-Sep-2026,41.05,39.5,1.95,4.987212276214834
KARAMTARA,Karamtara Engineering Limited,377.9,352.0,17-Sep-2026,350.0,352,-2.0,-0.5681818181818182
KISSHT,OnEMI Technology Solutions Limited,373.0,366.8,17-Sep-2026,356.5,359.95,-3.45,-0.9584664536741214
KOPRAN,Kopran Limited,282.1,274.78,16-Sep-2026,276.0,268.59,7.41,2.7588517815257454
KROSS,Kross Limited,248.77,243.8,17-Sep-2026,238.8,242.05,-3.25,-1.3426977897128693
LAURUSLABS,Laurus Labs Limited,1982.0,1981.8,11-Sep-2026,1954.0,1948.1,5.9,0.30285919613982853
LENSKART,Lenskart Solutions Limited,725.0,703.5,10-Sep-2026,721.4,679.95,41.45,6.096036473270093
