symbol,series,open_price,high_price,low_price,ltp,prev_price,net_price,trade_quantity,turnover,market_type,ca_ex_dt,ca_purpose,perChange
TCS,EQ,2177.2,2177.3,2101.2,2105.0,2190.0,-3.88,6875428,145618.12732600002,N,15-Jul-2026,Interim Dividend - Rs 12 Per Share,-3.88
TMPV,EQ,309.6,310.0,301.5,303.8,314.5,-3.4,18037112,54951.8654192,N,19-Jun-2026,Dividend - Rs 3 Per Share,-3.4
SBILIFE,EQ,1751.3,1770.0,1731.0,1731.0,1766.9,-2.03,929365,16277.3632925,N,06-Mar-2026,Interim Dividend - Rs 2.70 Per Share,-2.03
COALINDIA,EQ,418.0,419.95,409.65,409.9,418.0,-1.94,7700870,31718.343355999998,N,04-Sep-2026,Dividend - Rs 5.25 Per Share,-1.94
MARUTI,EQ,12350.0,12458.0,12103.0,12103.0,12338.0,-1.9,659773,80534.0036536,N,07-Aug-2026,Dividend - Rs 140 Per Share,-1.9
NTPC,EQ,329.8,330.85,323.65,323.65,329.6,-1.81,9448827,30861.7587474,N,02-Sep-2026,Dividend - Rs 3.50 Per Share,-1.81
TATACONSUM,EQ,1016.2,1018.7,996.0,996.0,1013.7,-1.75,2076522,20831.0457474,N,25-May-2026,Dividend - Rs 10 Per Share,-1.75
SUNPHARMA,EQ,1866.1,1877.2,1837.3,1837.3,1867.3,-1.61,2896860,53588.433768,N,07-Jul-2026,Dividend - Rs 5 Per Share,-1.61
TECHM,EQ,1558.3,1561.2,1523.1,1537.1,1561.0,-1.53,3113722,47841.715785600005,N,03-Jul-2026,Dividend - Rs 36 Per Share,-1.53
ITC,EQ,266.6,266.6,262.3,262.3,266.2,-1.47,14399150,38055.513535,N,27-May-2026,Dividend - Rs 8 Per Share,-1.47
RELIANCE,EQ,1245.0,1247.3,1226.4,1226.4,1243.9,-1.41,15122715,186727.7234625,N,05-Jun-2026,Dividend - Rs 6 Per Share,-1.41
HDFCLIFE,EQ,557.1,564.95,550.95,550.95,557.0,-1.09,5599030,31266.663229,N,19-Jun-2026,Dividend - Rs 2.10 Per Share,-1.09
KOTAKBANK,EQ,415.5,419.2,412.5,412.5,416.5,-0.96,15461137,64327.6066022,N,17-Jul-2026,Dividend - Rs 0.65 Per Share,-0.96
TATASTEEL,EQ,186.4,187.96,185.54,185.54,187.29,-0.93,29014128,54064.9261152,N,12-Jun-2026,Dividend - Rs 4 Per Share,-0.93
TITAN,EQ,4851.0,4864.5,4772.0,4798.5,4841.0,-0.88,1066023,51260.0357619,N,09-Jul-2026,Dividend - Rs 15 Per Share,-0.88
M&M,EQ,3082.0,3098.2,3052.0,3052.0,3076.5,-0.8,2973119,91206.0742511,N,03-Jul-2026,Dividend - Rs 33 Per Share,-0.8
BAJAJ-AUTO,EQ,11501.0,11540.0,11406.0,11414.0,11500.0,-0.75,296757,33970.6343853,N,24-Jun-2026,Buy Back,-0.75
HCLTECH,EQ,1258.3,1260.8,1235.6,1249.3,1258.3,-0.72,2886447,35937.7083735,N,17-Jul-2026,Interim Dividend - Rs 12 Per Share,-0.72
INFY,EQ,1061.9,1061.9,1038.0,1051.4,1058.6,-0.68,22124953,231854.01997290002,N,10-Jun-2026,Dividend - Rs 25 Per Share,-0.68
ICICIBANK,EQ,1351.9,1359.8,1338.9,1338.9,1347.6,-0.65,7509409,100855.86851540001,N,03-Aug-2026,Dividend - Rs 12 Per Share,-0.65
