symbol,companyName,volume,week1AvgVolume,week1volChange,week2AvgVolume,week2volChange,ltp,pChange,turnover
NIFTYBETA,UTI Nifty 50 ETF,2607269,547770,4.759780915667648,288122,9.049168322501714,261.99,1.19,6761.16997
BBTC,The Bombay Burmah Trading Corporation Limited,2468226,520118,4.745504296326147,283502,8.706196988947529,1512.5,8.08,36871.34727
ATGL,Adani Total Gas Limited,39305845,8294554,4.738752826131186,4412517,8.907805705727464,657.6,12.03,256509.94447
MADHAV,Madhav Marbles and Granites Limited,25672,5649,4.543877659386173,6764,3.7953873447664104,35.4,2.61,9.40878
SKYWAYS,Skyways Air Services Limited,92941309,20819945,4.464051481479375,13680233,6.793839374159805,124.7,5.7,120256.75971
ABCOTS,A B Cotspin India Limited,219982,49337,4.458708976520949,27569,7.979093065600766,209.0,-0.87,473.92922
MANUGRAPH,Manugraph India Limited,591694,133397,4.435580357008993,71466,8.279273341924723,17.81,17.25,106.03156
SKFINDUS,SKF India (Industrial) Limited,1293995,293878,4.403158717131007,164478,7.867268812968033,2950.0,0.33,38704.55504
ASTAR,Asian Star Company Limited,13851,3155,4.389339586766384,1590,8.711320754716981,807.35,20.0,111.26092
GPTINFRA,GPT Infraprojects Limited,3008060,687784,4.373549509541214,439557,6.843382265118898,119.2,4.97,3601.85104
TIMEX,Timex Group India Limited,6651306,1527155,4.355357511189107,996126,6.677170018064975,720.0,17.82,46394.18961
AQYLON,Aqylon Nexus Limited,38267346,8805963,4.3456172971515485,4788512,7.991489882629721,18.07,-4.29,6880.46881
LPDC,Landmark Property Development Company Limited,456816,108608,4.206098998232174,87225,5.237202092973131,7.24,18.69,31.65734
NRBBEARING,NRB Bearing Limited,9738086,2327878,4.183245138577685,1493052,6.52226585989,529.5,12.13,50950.63976
GRAUWEIL,Grauer & Weil India Limited,14617872,3495327,4.182118104301188,1948215,7.503212555944156,86.7,9.62,12698.5454
ENTERO,Entero Healthcare Solutions Limited,1634661,391578,4.174545467546457,274775,5.949071934282422,1729.8,3.79,4181.20755
GODIGIT,Go Digit General Insurance Limited,3424067,825497,4.147883445786746,488038,7.015972910350571,236.7,-7.36,8269.80661
SAMBHV,Sambhv Steel Tubes Limited,28285913,6996522,4.042853088189839,4548140,6.219225857248693,150.11,16.28,40850.51555
RELAXO,Relaxo Footwears Limited,2052973,526007,3.902937070062919,362857,5.657790919139927,293.95,-5.24,6033.27705
OMNI,Omnitech Engineering Limited,6045799,1584359,3.815926487386637,1128102,5.359264846813981,554.4,-2.51,33884.28507
SHIVAMAUTO,Shivam Autotech Limited,291980,77575,3.7638123327438007,57493,5.078451800973668,19.42,19.95,56.14775
HAZOOR,Hazoor Multi Projects Limited,2904804,773633,3.754757100589039,648750,4.4775378138553465,19.49,5.07,556.26996
CENTRALBK,Central Bank of India,56472458,15122058,3.734442528009282,9831438,5.744068917038699,32.15,5.76,17817.06049
AADHARHFC,Aadhar Housing Finance Limited,2175228,596745,3.645154965688862,438139,4.9646950182282215,460.8,-1.82,10049.11831
GKB,GKB Ophthalmics Limited,10541,2908,3.6243295282629626,5917,1.781477099881697,67.6,3.79,6.95073
